model_tag,method,tier,metric,mean,ci_low,ci_high,n
qwen25_3b,context_forward,all,POR_NC,1.0,1.0,1.0,497
qwen25_3b,context_forward,all,HHR,1.0,1.0,1.0,1313
qwen25_3b,context_forward,all,RSR,0.0,0.0,0.0,1313
qwen25_3b,context_forward,all,PSR,,,,0
qwen25_3b,context_forward,tier1,OSR,0.8677777777777778,0.8566666666666667,0.8786111111111111,3600
qwen25_3b,context_forward,tier1,POR_C,0.50171298058622,0.48267986296155313,0.5211267605633803,2627
qwen25_3b,context_forward,tier1,POR_NC,1.0,1.0,1.0,497
qwen25_3b,context_forward,tier1,HHR,1.0,1.0,1.0,1261
qwen25_3b,context_forward,tier1,RSR,0.0,0.0,0.0,1261
qwen25_3b,context_forward,tier1,PSR,,,,0
qwen25_3b,context_forward,tier2_llmbar,OSR,0.3025,0.26,0.3475,400
qwen25_3b,context_forward,tier2_llmbar,POR_C,0.5289256198347108,0.4380165289256198,0.6115702479338843,121
qwen25_3b,context_forward,tier2_llmbar,POR_NC,,,,0
qwen25_3b,context_forward,tier2_llmbar,HHR,1.0,1.0,1.0,52
qwen25_3b,context_forward,tier2_llmbar,RSR,0.0,0.0,0.0,52
qwen25_3b,context_forward,tier2_llmbar,PSR,,,,0
qwen25_3b,decomposed,all,OSR,0.6605,0.64575,0.675,4000
qwen25_3b,decomposed,all,POR_C,0.5538674033149171,0.5326887661141805,0.574585635359116,2172
qwen25_3b,decomposed,all,POR_NC,0.997872340425532,0.9936170212765958,1.0,470
qwen25_3b,decomposed,all,HHR,0.9866017052375152,0.9780755176613886,0.9939098660170523,821
qwen25_3b,decomposed,all,RSR,0.013398294762484775,0.0060901339829476245,0.02192448233861145,821
qwen25_3b,decomposed,all,PSR,,,,0
qwen25_3b,decomposed,tier1,OSR,0.7002777777777778,0.6852777777777778,0.715,3600
qwen25_3b,decomposed,tier1,POR_C,0.5553388590931253,0.5338859093125304,0.5767918088737202,2051
qwen25_3b,decomposed,tier1,POR_NC,0.997872340425532,0.9936170212765958,1.0,470
qwen25_3b,decomposed,tier1,HHR,0.9859154929577465,0.9769526248399488,0.9935979513444302,781
qwen25_3b,decomposed,tier1,RSR,0.014084507042253521,0.006402048655569782,0.023047375160051217,781
qwen25_3b,decomposed,tier1,PSR,,,,0
qwen25_3b,decomposed,tier2_llmbar,OSR,0.3025,0.2575,0.35,400
qwen25_3b,decomposed,tier2_llmbar,POR_C,0.5289256198347108,0.4380165289256198,0.6198347107438017,121
qwen25_3b,decomposed,tier2_llmbar,POR_NC,,,,0
qwen25_3b,decomposed,tier2_llmbar,HHR,1.0,1.0,1.0,40
qwen25_3b,decomposed,tier2_llmbar,RSR,0.0,0.0,0.0,40
qwen25_3b,decomposed,tier2_llmbar,PSR,,,,0
qwen25_3b,direct,all,OSR,0.624125,0.6135,0.634625,8000
qwen25_3b,direct,all,POR_C,0.5343090211132437,0.5194337811900192,0.5494241842610365,4168
qwen25_3b,direct,all,POR_NC,0.983030303030303,0.9733333333333334,0.9915151515151515,825
qwen25_3b,direct,all,HHR,0.9932150313152401,0.9895615866388309,0.9968684759916493,1916
qwen25_3b,direct,all,RSR,0.005741127348643006,0.0026096033402922755,0.009394572025052192,1916
qwen25_3b,direct,all,PSR,0.9725581395348837,0.9655813953488372,0.9790697674418605,2150
qwen25_3b,direct,tier1,OSR,0.6606944444444445,0.6495833333333333,0.6713888888888889,7200
qwen25_3b,direct,tier1,POR_C,0.535350966429298,0.5198372329603256,0.551119023397762,3932
qwen25_3b,direct,tier1,POR_NC,0.983030303030303,0.9733333333333334,0.9915151515151515,825
qwen25_3b,direct,tier1,HHR,0.9939626783754116,0.9901207464324918,0.9972557628979144,1822
qwen25_3b,direct,tier1,RSR,0.0060373216245883645,0.0027442371020856204,0.009879253567508232,1822
qwen25_3b,direct,tier1,PSR,0.9725301204819277,0.9653012048192771,0.9792771084337349,2075
qwen25_3b,direct,tier2_llmbar,OSR,0.295,0.26375,0.3275,800
qwen25_3b,direct,tier2_llmbar,POR_C,0.5169491525423728,0.4533898305084746,0.5805084745762712,236
qwen25_3b,direct,tier2_llmbar,POR_NC,,,,0
qwen25_3b,direct,tier2_llmbar,HHR,0.9787234042553191,0.9468085106382979,1.0,94
qwen25_3b,direct,tier2_llmbar,RSR,0.0,0.0,0.0,94
qwen25_3b,direct,tier2_llmbar,PSR,0.9733333333333334,0.9333333333333333,1.0,75
qwen25_3b,locked,all,OSR,0.53875,0.527875,0.549625,8000
qwen25_3b,locked,all,POR_C,0.5042238648363252,0.48812038014783526,0.5203339493136219,3788
qwen25_3b,locked,all,POR_NC,0.9923371647509579,0.9846743295019157,0.9980842911877394,522
qwen25_3b,locked,all,HHR,0.9988059701492538,0.9970149253731343,1.0,1675
qwen25_3b,locked,all,RSR,0.0011940298507462687,0.0,0.0029850746268656717,1675
qwen25_3b,locked,all,PSR,0.9982578397212544,0.9959349593495935,1.0,1722
qwen25_3b,locked,tier1,OSR,0.5770833333333333,0.5655555555555556,0.5881944444444445,7200
qwen25_3b,locked,tier1,POR_C,0.5048169556840078,0.4888521882741536,0.5210569777043765,3633
qwen25_3b,locked,tier1,POR_NC,0.9923371647509579,0.9846743295019157,0.9980842911877394,522
qwen25_3b,locked,tier1,HHR,0.9987585350713842,0.9968963376784605,1.0,1611
qwen25_3b,locked,tier1,RSR,0.0012414649286157666,0.0,0.0031036623215394167,1611
qwen25_3b,locked,tier1,PSR,0.9994026284348865,0.9982078853046595,1.0,1674
qwen25_3b,locked,tier2_llmbar,OSR,0.19375,0.16625,0.2225,800
qwen25_3b,locked,tier2_llmbar,POR_C,0.49032258064516127,0.4129032258064516,0.567741935483871,155
qwen25_3b,locked,tier2_llmbar,POR_NC,,,,0
qwen25_3b,locked,tier2_llmbar,HHR,1.0,1.0,1.0,64
qwen25_3b,locked,tier2_llmbar,RSR,0.0,0.0,0.0,64
